id_licencia,emp_direccion
199,CALLE ARICA N 1364  -  CHICLAYO
200,CHICLAYOALFREDO LAPOINT 882  INT- I
201,AV. FITZCARRAL S/N (AEREOPUERTO JOSÉ ABELARDO QUIÑONES GONZALES) - CHICLAYO 
202,CA. TIGRE N 213 URB. JOSÉ QUIÑONES GONZALES - CHICLAYO
203,CA. VICENTE DE LA VEGA N 1113 - CHICLAYO 
204,AV. LAS AMÉRICAS MZ. B LOTE 21 PP.JJ. SAN NICOLÁS - CHICLAYO 
205,CA. 7 DE ENERO N 1659 STAND 81 - CHICLAYO
206,CA. NICOLAS CUGLIEVAN N 110 - CHICLAYO
207,AV. JOSÉ BALTA N 1400 - INT. 17-19 2 PISO - CHICLAYO 
208,CA. VICENTE DE LA VEGA N 800 TIENDA N 02 - CHICLAYO 
209,CA. PASTAZA N 260 - UR. JOSÉ QUIÑONES GONZALES - CHICLAYO
210,CA. LOS DULANTOS N 119 URB. SANTA VICTORIA - CHICLAYO 
211,AV. SÁENZ PEÑA N 106 INT. 08 - CHICLAYO
212,AV. LUIS GONZALES N 1292 - CHICLAYO 
213,AV. AUGUSTO B. LEGUÍA N 187 - CHICLAYO
214,AV. SAENZ PEÑA N 937 INT. 102 - CHICLAYO
215,CA. 07 DE ENERO N 1228  -  CHICLAYO
216,CA. 07 DE ENERO N 356 - CHICLAYO
217,CA. MANUEL MARÍA ÍZAGA N 824 - CHICLAYO
218,CA. AREQUIPA NORTE N 181 INT. 99 - CHICLAYO  
219,PROLONGACIÓN FRANCISCO BOLOGNESI MZ. L LOTE 14 C.P.M. LA PROGRESIVA - CIUDADELA 
220,AV. AUGUSTO B. LEGUÍA N 2665  MZ. A LOTE 17 URB. MIRAFLORES I ETAPA - CHICLAYO 
221,CA. SALVADOR ALLENDE N 321 PP.JJ. SANTA ROSA - CHICLAYO 
222,CA. ARICA N 1315 - CHICLAYO 
223,CA. LOS JAZMINES N 260 URB. FEDERICO VILLARREAL - CHICLAYO
